Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
SO(w)314 SZie[3],16/10/2023,03:45 PM,16/10/2023,05:20 PM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
Bd(w)314 SKe[3],17/10/2023,09:50 AM,17/10/2023,11:25 AM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
Bd(w)314 SKe[4],17/10/2023,11:40 AM,17/10/2023,01:15 PM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
"Ja(æ)134 K,-[18]",17/10/2023,05:35 PM,17/10/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[2],17/10/2023,07:25 PM,17/10/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
Als(w)314 SWor[2],18/10/2023,08:00 AM,18/10/2023,09:35 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
Als(w)314 SWor[3],18/10/2023,09:50 AM,18/10/2023,11:25 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
FII(w)aF S[3],18/10/2023,11:40 AM,18/10/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[18]",19/10/2023,07:25 PM,19/10/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Po(w)314 SWlc[2],20/10/2023,11:40 AM,20/10/2023,01:15 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
Po(w)314 SWlc[3],20/10/2023,01:30 PM,20/10/2023,03:05 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
Als(w)314 SWor[4],23/10/2023,09:50 AM,23/10/2023,11:25 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
FII(æ)201 65[1],23/10/2023,01:30 PM,23/10/2023,03:05 PM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
SO(w)314 SZie[4],23/10/2023,03:45 PM,23/10/2023,05:20 PM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
Bd(w)314 SKe[5],24/10/2023,09:50 AM,24/10/2023,11:25 AM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
Bd(w)314 SKe[6],24/10/2023,11:40 AM,24/10/2023,01:15 PM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
"Ja(æ)134 K,-[19]",24/10/2023,05:35 PM,24/10/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
FII(w)aF S[4],25/10/2023,11:40 AM,25/10/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[19]",26/10/2023,07:25 PM,26/10/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[3],27/10/2023,09:50 AM,27/10/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
Po(w)314 SWlc[4],27/10/2023,01:30 PM,27/10/2023,03:05 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
Als(w)314 SWor[5],30/10/2023,09:50 AM,30/10/2023,11:25 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
Als(w)314 SWor[6],30/10/2023,11:40 AM,30/10/2023,01:15 PM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
